# nw_status scan 2026-09-22
Row,Type,Library,GitHub,version=,Last tag,version = tag,library.properties,paragraph=,url= ok,category=,depends=,LICENSE,README DOI badge,CITATION.cff,.zenodo.json,keywords.txt,doxygen_NW.cfg,src/,_Demo example,Examples,docs.yml,begin() -> bool,getHeader/getString,Raw-readings triad,camelCase conversion,PascalCase removed,Header trailing space,Header separator,Arduino registry,Schema 1: library,Open issues,Uncommitted files,Unpushed commits,HW: Repo,HW: GitHub,HW: Last tag,HW: Commits past tag,HW: Eagle .brd,HW: KiCad .kicad_pcb,HW: KiCad verified vs Eagle,HW: Spec appendix,HW: Schema 1: firmware,HW: Page 0 provisioned + tested,HW: Open issues,HW: Bug-labelled issues,HW: Uncommitted files,HW: Unpushed commits,Next action,Notes
Apis,Sensor,Apis_Library,NorthernWidget/Apis_Library,0.1.0,v0.1.0,yes,OK,OK,OK,Sensors,,OK,concept DOI,OK,OK,OK,OK,OK,Apis_Demo,"Apis_Demo, Apis_Readings, Margay",OK,OK,OK,OK,OK,OK,OK,comma,yes,done on master 2026-09-21 (unreleased; needs major version; untested on hardware),3,0,0,Project-Apis,NorthernWidget/Project-Apis,v0.1.1,15,3,0,N/A (no KiCad import yet),yes,done on master 2026-09-21 (patch 1; compiled for ATtiny1634; untested on hardware; sleep bit deferred),no (NW-Provision writes magic 0x4E as of ca3a64d),17,2,5,1,Bench test firmware patch 1 + library on a provisioned board (same session as Walrus); then run model per #23 (v3HP manual; timing budget; single-vs-burst rule); #22 awaits the bench,
Haar,Sensor,Haar_Library,NorthernWidget-Skunkworks/Haar_Library,1.0.0,v1.0.0,yes,OK,OK,OK,Sensors,,OK,concept DOI,OK,OK,OK,OK,OK,Haar_Demo,"Haar_Demo, SerialDemo",OK,OK,OK,MISSING,OK,OK,OK,comma-space,no,MISSING (default address 0x42; spec 0x48),3,0,0,Project-Haar,NorthernWidget-Skunkworks/Project-Haar,v0.1.1,9,2,0,N/A (no KiCad import yet),yes,MISSING,no,10,0,1,0,Firmware Page 0/1 rewrite; then library,
Walrus,Sensor,Walrus_Library,NorthernWidget-Skunkworks/Walrus_Library,0.2.0,v0.2.0,yes,OK,OK,OK,Sensors,,OK,concept DOI,OK,OK,MISSING,OK,OK,MISSING,none,MISSING,uint8_t,OK,MISSING,OK,OK,OK,comma,no,partial: address 0x57 and Page 1 reads; no Page 0 schema check in begin(),0,0,0,Project-Walrus,NorthernWidget-Skunkworks/Project-Walrus,v0.3.0,15,3,0,N/A (no KiCad import yet),yes,partial: Page 1 done on master; open #15 Page 0 init; #16 writable 0x1F,no (#17 provisioning check; #18 hardware validation),7,2,0,0,Finish #15-#18,
Libelle,Sensor,Libelle_Library,NorthernWidget-Skunkworks/Libelle_Library,1.0.0,v1.0.0,yes,OK,OK,OK,Sensors,,OK,concept DOI,OK,OK,OK,OK,OK,Libelle_Demo,"LibelleMargayDemo, LibelleSWDemo, Libelle_Demo",OK,OK,OK,MISSING,OK,OK,OK,comma,no,MISSING (v2.0.0 planned; Project-Libelle #23),7,0,0,Project-Libelle,NorthernWidget-Skunkworks/Project-Libelle,v0.1.1,25,2,0,N/A (no KiCad import yet; #17),yes,MISSING (v0.3 with ATtiny1634 planned; #22),no,17,3,0,0,Hardware v0.3 (#20 MCU; #21 fab) gates firmware and library,
Liasis,Sensor,Liasis_Library,NorthernWidget-Skunkworks/Liasis_Library,1.0.0,v1.0.0,yes,OK,OK,OK,Sensors,,OK,concept DOI,OK,OK,OK,OK,OK,Liasis_Demo,Liasis_Demo,OK,OK,OK,MISSING,OK,OK,OK,comma,no,N/A until hardware carries an MCU,5,0,0,Project-Liasis,NorthernWidget-Skunkworks/Project-Liasis,v0.1.1,5,1,0,N/A (no KiCad import yet),yes,N/A (no MCU; #2),N/A,2,0,0,0,Decide on adding an MCU (#2),
Margay,Logger,Margay_Library,NorthernWidget/Margay_Library,1.2.0,v1.2.0,yes,OK,OK,OK,Data Storage,"SdFat, DS3231_Logger, NW_MCP3421, BME",OK,latestdoi (deprecated),OK,MISSING,OK,OK,OK,MISSING,"Basic, HighSpeed_NoSleep, Laser_Ranging, SensorDemo_TP-Downhole",OK,void,N/A,N/A,OK,OK,—,—,no,MISSING (no Page 0 read),13,0,0,Project-Margay,NorthernWidget/Project-Margay,v2.2.2,95,1,1,no (KiCad 7 import; BoM fields populated; not netlist-compared),yes,N/A (controller; Page 0 via NW-Provision),no,19,7,2,0,June review fixes in KiCad -> v3 tag; provision Page 0,depends= should say NW_BME280 · hardware v3 release in progress
Okapi,Logger,Okapi_Library,NorthernWidget-Skunkworks/Okapi_Library,0.7.0,v0.6.0,NO (v0.6.0 vs 0.7.0),OK,OK,OK,Data Storage,,OK,concept DOI,OK,OK,OK,named doxygen_Okapi.cfg,OK,Okapi_Demo,Okapi_Demo,OK,OK,N/A,N/A,"PascalCase only: AddDataPoint, GetOnBoardVals, GetVoltage, InitLogFile …",NO (12 PascalCase live),—,—,no,MISSING (reads Schema 0 SN at EEPROM length-8),8,0,0,Project-Okapi,NorthernWidget-Skunkworks/Project-Okapi,v0.6.0,4,3,2,no (KiCad 10 import; power nets and no-connects fixed; not netlist-compared),yes,N/A (controller; Page 0 via NW-Provision),no,22,13,1,0,Parallel thread: decide manufacturing source (KiCad-10 import vs Eagle) -> fix #15-#28 there -> ERC/DRC -> Gerbers -> v1.0 tag -> order,5 library bugs filed 2026-06-02 (#3-#7); snapshot tag waits on hardware test · Prototype; current design is untagged Eagle v1.0 updates (2024-11-02) with CAM outputs
MCP3421,Component,MCP3421,NorthernWidget/MCP3421,2.0.0,v1.1.0,NO (v1.1.0 vs 2.0.0),OK,OK,OK,Signal Input/Output,,MISSING,concept DOI,OK,OK,OK,MISSING,OK,MISSING,VoltageRead,MISSING,int,N/A,N/A,OK,OK,—,—,no,,2,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Add [[deprecated]] PascalCase aliases; LICENSE; doxygen_NW.cfg; docs.yml; NW_MCP3421_Demo; bool begin(); then review and tag v2.0.0,camelCase rename on master since 2026-09-20 push; needs [[deprecated]] aliases before v2.0.0 tag
NW_BME280,Sensor,NW_BME280,NorthernWidget/NW_BME280,3.0.0,v3.0.0-alpha.1,NO (v3.0.0-alpha.1 vs 3.0.0),OK,OK,OK,Sensors,Adafruit BME280 Library,OK,concept DOI,OK,MISSING,OK,OK,OK,MISSING,BasicReadings,OK,OK,OK,OK,OK,pending (5 deprecated aliases),OK,comma,no,,0,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Add .zenodo.json; review; tag v3.0.0,
DS3231,Component,DS3231,NorthernWidget/DS3231,1.2.0,v1.2.0,yes,OK,OK,OK,Timing,,OK,no badge,OK,MISSING,OK,MISSING,flat layout,MISSING,"AdvanceAlarm, AlarmInterrupt, AlarmPolling, DS3231_oscillator_test, DS3231_set, DS3231_test, echo_time, now, setEpoch, set_echo",MISSING,no begin(),N/A,N/A,OK,OK,—,—,yes,,12,1,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,CITATION.cff; .zenodo.json; doxygen_NW.cfg; docs.yml (in registry already),
